date,E0_ave
2024-01-01,2.5576
2024-01-02,2.5615
2024-01-03,2.4536
2024-01-04,2.3326
2024-01-05,2.2316
2024-01-06,2.3076
2024-01-07,2.3436
2024-01-08,2.3725
2024-01-09,2.4448
2024-01-10,2.4172
2024-01-11,2.3525
2024-01-12,2.3631
2024-01-13,2.5437
2024-01-14,2.6056
2024-01-15,2.4596
2024-01-16,2.4574
2024-01-17,2.3468
2024-01-18,2.5803
2024-01-19,2.5713
2024-01-20,2.4616
2024-01-21,2.3978
2024-01-22,2.3761
2024-01-23,2.3698
2024-01-24,2.509
2024-01-25,2.4679
2024-01-26,2.5729
2024-01-27,2.5926
2024-01-28,2.582
2024-01-29,2.5623
2024-01-30,2.5461
2024-01-31,2.5882
2024-02-01,2.7656
2024-02-02,2.5364
2024-02-03,2.4367
2024-02-04,2.7848
2024-02-05,2.7332
2024-02-06,2.5388
2024-02-07,2.4529
2024-02-08,2.2871
2024-02-09,2.6433
2024-02-10,2.8025
2024-02-11,3.009
2024-02-12,3.1299
2024-02-13,3.0647
2024-02-14,2.9185
2024-02-15,2.766
2024-02-16,2.6856
2024-02-17,2.803
2024-02-18,2.8555
2024-02-19,3.2118
2024-02-20,3.0979
2024-02-21,3.1802
2024-02-22,3.2281
2024-02-23,3.2802
2024-02-24,3.1297
2024-02-25,3.1283
2024-02-26,3.1337
2024-02-27,3.2814
2024-02-28,3.0166
2024-02-29,2.9944
2024-03-01,3.1808
2024-03-02,3.2791
2024-03-03,3.4592
2024-03-04,3.6421
2024-03-05,3.5824
2024-03-06,3.6592
2024-03-07,3.7218
2024-03-08,3.7476
2024-03-09,3.9665
2024-03-10,3.9801
2024-03-11,4.2569
2024-03-12,3.8887
2024-03-13,4.012
2024-03-14,4.0697
2024-03-15,4.2797
2024-03-16,4.1976
2024-03-17,4.1721
2024-03-18,3.9133
2024-03-19,3.9081
2024-03-20,3.7494
2024-03-21,3.9866
2024-03-22,4.0016
2024-03-23,4.0274
2024-03-24,4.0742
2024-03-25,4.2131
2024-03-26,4.4167
2024-03-27,4.6422
2024-03-28,4.378
2024-03-29,4.3591
2024-03-30,4.266
2024-03-31,4.5625
2024-04-01,4.4039
2024-04-02,4.3439
2024-04-03,4.4444
2024-04-04,4.3348
2024-04-05,4.3036
2024-04-06,4.263
2024-04-07,4.736
2024-04-08,4.7976
2024-04-09,4.7266
2024-04-10,4.5709
2024-04-11,4.75
2024-04-12,4.0534
2024-04-13,4.6107
2024-04-14,4.7243
2024-04-15,4.9694
2024-04-16,4.6614
2024-04-17,5.0245
2024-04-18,5.1862
2024-04-19,4.8018
2024-04-20,4.7071
2024-04-21,4.3345
2024-04-22,4.6091
2024-04-23,4.5484
2024-04-24,4.9333
2024-04-25,5.0193
2024-04-26,5.002
2024-04-27,4.9721
2024-04-28,5.2399
2024-04-29,5.4932
2024-04-30,5.4251
2024-05-01,5.525
2024-05-02,5.4432
2024-05-03,5.5607
2024-05-04,5.5185
2024-05-05,5.2659
2024-05-06,5.2753
2024-05-07,5.5396
